"","farmsize","id","year","32","49","53","4","7","2","4","totpop","urb25","mtot","ftot","n.farms","farm100","farm500","farm1000","faval","cat"
"1",144,1,1880,1,0,0,1,0,1,0,-0.18974146495562,-0.138069263372612,-0.184316846926065,-0.195285369922078,0.0238754133080329,1.13672433452864,-0.743595142819691,-0.888136273138231,-0.496363855989795,NA
"2",152,1,1890,1,0,0,1,0,1,0,-0.131203186555455,-0.138069263372612,-0.123970082554679,-0.138547596063681,0.278162079315766,1.57909330164476,-0.588687893075745,-0.935242480560968,-0.211859079617696,NA
"3",156.7,1,1900,1,0,0,1,0,1,0,0.027959367317706,-0.138069263372612,0.0428551949519992,0.0130330615709631,0.368922858567757,0.75233576601512,-0.418289918357404,-0.864583169426862,-0.176295982571184,NA
"4",1533,1,1930,1,0,0,1,0,1,0,0.0779530738027068,-0.138069263372612,0.074557361835101,0.0808979474163906,0.366575597035378,0.623490435787124,-0.635160067998929,-0.864583169426862,0.748344540638136,NA
"5",153.7,1,1940,1,0,0,1,0,1,0,0.0376980564259838,-0.138069263372612,0.027728272682905,0.0470967204369201,0.359533812438241,-0.443778382934777,-0.449271368306193,-0.793923858292756,0.108208793800915,NA
"6",179.5,1,1950,1,0,0,1,0,1,0,-0.00706807034694421,-0.138069263372612,-0.023928557619002,0.00909658327366449,0.137326387373022,-0.576918557503706,-0.0774939689207211,-0.841030065715493,1.31735409338233,NA
"7",220,271,1880,0,1,0,0,1,0,1,-0.0280845329457343,-0.138069263372612,-0.0192617411742815,-0.0370389423706749,0.0379589825023074,0.986404782595979,0.433699955234303,-0.0166714358175872,-0.816431729408405,NA
"8",135,271,1890,0,1,0,0,1,0,1,0.0655342549943308,-0.138069263372612,0.064419105420708,0.0662542481504398,0.437775863517544,1.08518620243744,-0.0465125189719317,-0.581945924890437,-0.745305535315381,NA
"9",112.9,271,1900,0,1,0,0,1,0,1,0.253727124628952,-0.138069263372612,0.247819627541393,0.259036711963476,1.38606952259869,0.73945123299232,-0.170438318767089,-0.652605236024543,-0.709742438268869,NA
"10",815,271,1930,0,1,0,0,1,0,1,0.429607319205695,-0.138069263372612,0.436637948063421,0.422164372603529,2.29445973562939,0.782399676401652,-0.495743543229377,-0.817476962004125,0.0370825997078901,NA
"11",128.9,271,1940,0,1,0,0,1,0,1,0.494593830448671,-0.138069263372612,0.483842528193928,0.504515498583015,1.709991614067,0.314261643239933,-0.294364118562246,-0.228649369219906,-0.354111467803745,NA
"12",170.2,271,1950,0,1,0,0,1,0,1,0.356155843860429,-0.138069263372612,0.331393190999723,0.379860352501893,1.07544857981386,-0.0958959913191878,0.851949529542958,0.148200290161994,0.143771890847427,NA
"13",769,541,1930,0,0,1,0,1,0,1,-0.09811287233741,-0.138069263372612,-0.0925897650815575,-0.103801614292859,0.226522325603427,-0.0593898144212556,-0.867520942614849,-0.935242480560968,0.143771890847427,1
"14",78,541,1940,0,0,1,0,1,0,1,-0.0716034706502998,-0.138069263372612,-0.0659299056214871,-0.0774534528896069,0.16784078729395,-0.36002891828658,-0.898502392563638,-0.958795584272337,-0.318548370757233,1
"15",98.8,541,1950,0,0,1,0,1,0,1,-0.093814050442203,-0.138069263372612,-0.0971492983896178,-0.0908374791004221,0.33606119711445,-0.293458831002115,-0.681632242922113,-0.746817650870018,0.428276667219526,1
"16",134,2,1880,1,0,0,1,0,1,0,-0.249341180860775,-0.138069263372612,-0.245468234822404,-0.253335303212907,-0.149821940088019,0.421632751763263,-0.852030217640454,-0.958795584272337,-0.42523766189677,NA
"17",160,2,1890,1,0,0,1,0,1,0,-0.112787245843889,-0.138069263372612,-0.107341196372341,-0.118392827181512,0.340755720179208,1.3836778841323,-0.185929043741484,-0.676158339735912,-0.176295982571184,NA
"18",169.7,2,1900,1,0,0,1,0,1,0,-0.119819269314443,-0.138069263372612,-0.119249624541628,-0.120649741405297,0.487068355697504,0.668586301366922,0.185848355643988,-0.676158339735912,0.0726456967544024,NA
"19",1776,2,1930,1,0,0,1,0,1,0,-0.135289720949664,-0.138069263372612,-0.137219549932219,-0.133666362975031,0.332931515071278,0.53759354896846,-0.0155310690231424,-0.793923858292756,0.677218346545112,NA
"20",203.3,2,1940,1,0,0,1,0,1,0,-0.180321207098839,-0.138069263372612,-0.185496961429328,-0.17549800568099,0.14202091043778,-0.381503139991246,-0.0465125189719317,-0.581945924890437,-0.0696066914316469,NA
"21",241.7,2,1950,1,0,0,1,0,1,0,-0.217232696334846,-0.138069263372612,-0.225567212971929,-0.209299232660461,-0.0543666377712696,-0.538264958435308,0.604097929952644,-0.511286613756331,0.855033831777673,NA
"22",0,272,1880,0,1,0,0,1,0,1,-0.489677167928,-0.138069263372612,-0.504878859266871,-0.474880301784871,-1.16540376309737,-0.813134996255033,-0.975956017435611,-0.958795584272337,-0.424438142464059,NA
"23",NA,272,1890,0,1,0,0,1,0,1,-0.489040305425006,-0.138069263372612,-0.504020594173589,-0.474460410766493,-1.05672873076832,-0.695495709109222,-0.693256961262976,-0.499871045578714,-0.759481559395421,NA
"24",76802.203,272,1900,0,1,0,0,1,0,1,-0.487368541354648,-0.138069263372612,-0.501714006735394,-0.473410683220547,-1.15601471696785,-0.813134996255033,-0.975956017435611,-0.676158339735912,-0.88755792350143,NA
"25",99851,272,1930,0,1,0,0,1,0,1,-0.470146717836195,-0.138069263372612,-0.483154024093172,-0.45750731089946,-1.10672222478789,-0.772333975016167,-0.883011667589243,-0.629052132313175,-0.638616244175844,NA
"26",8312.3,272,1940,0,1,0,0,1,0,1,-0.455790775581213,-0.138069263372612,-0.468670800644039,-0.443283502651888,-1.08246718895331,-0.806692729743633,-0.852030217640454,-0.110883850663062,-0.709742438268869,NA
"27",5980.5,272,1950,0,1,0,0,1,0,1,-0.356944407929075,-0.138069263372612,-0.366054480428517,-0.348178186989155,-1.0942034966152,-0.810987574084566,-0.821048767691665,-0.0402245395289559,-0.567490050082819,NA
"28",2232,542,1930,0,0,1,0,1,0,1,-0.0855879097785351,-0.138069263372612,-0.0850799455153405,-0.0863761370301504,0.656071186028798,1.3256974855297,0.185848355643988,-0.676158339735912,1.38848028747536,2
"29",252.1,542,1940,0,0,1,0,1,0,1,-0.114750905228119,-0.138069263372612,-0.114904657506888,-0.114876239902592,0.408826304618202,-0.664962866492837,0.495662855131881,-0.487733510044962,0.855033831777673,2
"30",302.6,542,1950,0,0,1,0,1,0,1,-0.20576917128096,-0.138069263372612,-0.218379242815692,-0.193658292225861,0.123242818178747,-0.697174199049836,1.68844867816027,-0.0873307469516934,2.9532565575219,2
"31",128,3,1880,1,0,0,1,0,1,0,0.217983216648433,-0.138069263372612,0.293254035917006,0.143881600173168,0.145933012991745,0.997141893448312,-0.821048767691665,-0.864583169426862,-0.105169788478159,NA
"32",138,3,1890,1,0,0,1,0,1,0,0.22037145103466,-0.138069263372612,0.239987958565196,0.200724346786159,0.203832130790429,1.23550575437011,-0.57319716810135,-0.958795584272337,0.392713570173013,NA
"33",133.39999,3,1900,1,0,0,1,0,1,0,0.26940986376517,-0.138069263372612,0.287514388105683,0.251216241746176,0.344667822733174,0.709387322605788,-0.681632242922113,-0.888136273138231,0.463839764266038,NA
"34",1443,3,1930,1,0,0,1,0,1,0,0.14572585849628,-0.138069263372612,0.135547825026449,0.155271144046685,0.207744233344394,0.563362615014059,-0.712613692870902,-0.958795584272337,2.17086842249863,NA
"35",149.3,3,1940,1,0,0,1,0,1,0,0.100004437968862,-0.138069263372612,0.0880750370542916,0.111287559871536,0.189748561596154,-0.409419628207312,-0.712613692870902,-0.888136273138231,0.783907637684649,NA
"36",171.5,3,1950,1,0,0,1,0,1,0,0.080739347253304,-0.138069263372612,0.072787190080207,0.0881410674834199,0.00587974155979335,-0.501758781537375,-0.278873393587852,-0.817476962004125,2.17086842249863,NA
"37",182,273,1880,0,1,0,0,1,0,1,-0.350655390712013,-0.138069263372612,-0.362192287508748,-0.339517934735098,-0.463572564916022,0.0587184049544075,-0.464762093280587,-0.605499028601806,-0.851994826454918,NA
"38",145,273,1890,0,1,0,0,1,0,1,-0.322341545266421,-0.138069263372612,-0.325930587317586,-0.318995761211848,-0.583282903067355,0.0630132492953407,-0.666141517947718,-0.770370754581387,-0.780868632361893,NA
"39",100.6,273,1900,0,1,0,0,1,0,1,-0.131946192808947,-0.138069263372612,-0.107341196372341,-0.156287991590173,-0.0676677864547511,-0.0185887931823901,-0.712613692870902,-0.817476962004125,-0.709742438268869,NA
"40",666,273,1930,0,1,0,0,1,0,1,0.248101505852508,-0.138069263372612,0.254149332604348,0.241716207455362,0.893927021309878,-0.13884443472852,-0.852030217640454,-0.864583169426862,0.214898084940452,NA
"41",64.4,273,1940,0,1,0,0,1,0,1,0.364806559526092,-0.138069263372612,0.366528418255952,0.362592334371077,1.01050767741804,-0.372913451309379,-0.852030217640454,-0.629052132313175,0.108208793800915,NA
"42",92.4,273,1950,0,1,0,0,1,0,1,0.466465736566452,-0.138069263372612,0.456592611482226,0.475543018314897,0.428386817388027,-0.458810338128043,-0.681632242922113,-0.605499028601806,1.35291719042885,NA
"43",1459,543,1930,0,0,1,0,1,0,1,-0.104030386427726,-0.138069263372612,-0.0934480301748394,-0.114666294393403,0.289898386977662,0.301377110217133,-0.588687893075745,-0.652605236024543,-0.389674564850258,1
"44",147.6,543,1940,0,0,1,0,1,0,1,0.00659793752979433,-0.138069263372612,0.0201648115483578,-0.00701673455661103,0.453424273733404,-0.241920698910917,-0.542215718152561,-0.511286613756331,-0.603053147129332,1
"45",226.7,543,1950,0,0,1,0,1,0,1,-0.111035873960656,-0.138069263372612,-0.105839232459098,-0.116398344844214,0.297722592085592,-0.362176340457046,0.139376180720804,0.0775409790278878,-0.211859079617696,1
"46",165,4,1880,1,0,0,1,0,1,0,-0.41906503790858,-0.138069263372612,-0.42506020559165,-0.413313781215122,-0.914246779132805,-0.158171234262719,-0.975956017435611,-0.958795584272337,-0.780868632361893,0
"47",283,4,1890,1,0,0,1,0,1,0,-0.278106137245988,-0.138069263372612,-0.275132022108961,-0.281205569557781,-0.26640259619618,1.14746144538097,-0.0774939689207211,-0.0873307469516934,-0.496363855989795,0
"48",710.40002,4,1900,1,0,0,1,0,1,0,-0.314699195230497,-0.138069263372612,-0.312734761508376,-0.316791333365361,-0.41897459580082,-0.314933052706781,1.0068567792869,2.83325411325803,-0.745305535315381,0
"49",6509,4,1930,1,0,0,1,0,1,0,-0.219594394783447,-0.138069263372612,-0.219773923592276,-0.219639048988032,-0.338385283189138,-0.47384229332131,1.85884665287861,2.45640445387613,0.0726456967544024,0
"50",686.5,4,1940,1,0,0,1,0,1,0,-0.248916605858779,-0.138069263372612,-0.259844175134876,-0.23842917206047,-0.35951063698055,-0.759449441993368,0.774495904670985,2.95101963181488,-0.105169788478159,0
"51",802.3,4,1950,1,0,0,1,0,1,0,-0.263564443427633,-0.138069263372612,-0.276473061317214,-0.25113087536642,-0.503476010966467,-0.780923663698034,1.75041157805785,3.28076308377404,0.641655249498599,0
"52",1323,274,1880,0,1,0,0,1,0,1,-0.463247374053764,-0.138069263372612,-0.477628942555169,-0.449266949663782,-1.15132019390309,-0.8023978854027,-0.960465292461217,-0.864583169426862,-0.88755792350143,0
"53",156,274,1890,0,1,0,0,1,0,1,-0.441275617700483,-0.138069263372612,-0.452363763871682,-0.430529312968641,-1.16070924003261,-0.806692729743633,-0.975956017435611,-0.958795584272337,-0.638616244175844,0
"54",274.39999,274,1900,0,1,0,0,1,0,1,-0.444141498963955,-0.138069263372612,-0.457620637568034,-0.431054176741614,-1.12862999909009,-0.804545307573166,-0.883011667589243,-0.888136273138231,-0.0340435943851345,0
"55",7027,274,1930,0,1,0,0,1,0,1,-0.430793922338713,-0.138069263372612,-0.441903658047309,-0.420032037509178,-1.05351763005396,-0.8023978854027,-0.867520942614849,-0.888136273138231,-0.247422176664208,0
"56",1075.5,274,1940,0,1,0,0,1,0,1,-0.397624000307794,-0.138069263372612,-0.406017448834457,-0.389537452299438,-1.08090234793172,-0.8023978854027,-0.960465292461217,-0.72326454715865,-0.603053147129332,0
"57",778.4,274,1950,0,1,0,0,1,0,1,-0.376846361147627,-0.138069263372612,-0.387779315602216,-0.366285987156728,-1.09733317865837,-0.8023978854027,-0.867520942614849,-0.652605236024543,0.855033831777673,0
"58",179,544,1890,0,0,1,0,1,0,1,-0.418720070719458,-0.138069263372612,-0.42495292245499,-0.412736431064851,-0.983882204593384,-0.327817585729581,-0.883011667589243,-0.958795584272337,-0.6654904696823,1
"59",867,544,1900,0,0,1,0,1,0,1,-0.408716022234933,-0.138069263372612,-0.41154253037246,-0.406070661148092,-0.64665896444159,-0.0916011469782546,0.0154503809256469,1.32585547573043,-0.640578020661612,1
"60",5108,544,1930,0,0,1,0,1,0,1,-0.185787610249535,-0.138069263372612,-0.178952690093053,-0.192713537434509,0.436211022495958,-0.0465052813984559,5.9638887710932,1.96178927593739,-0.0696066914316469,1
"61",651.2,544,1940,0,0,1,0,1,0,1,-0.260194379349292,-0.138069263372612,-0.261828913163091,-0.258793886451828,0.132631864308264,-0.761596864163834,2.40102202698242,4.15222792109468,-0.531926953036307,1
"62",769.2,544,1950,0,0,1,0,1,0,1,-0.293019334191089,-0.138069263372612,-0.298197896490913,-0.288133771361027,-0.0934876633109209,-0.761596864163834,5.70054644652849,4.03446240253784,0.819470734731161,1
"63",180,5,1880,1,0,0,1,0,1,0,-0.215879363515984,-0.138069263372612,-0.207597287581338,-0.224205363812898,0.36970527907855,2.44879928068373,-0.464762093280587,-0.841030065715493,-0.638616244175844,NA
"64",222,5,1890,1,0,0,1,0,1,0,-0.14014579753499,-0.138069263372612,-0.134001055832411,-0.146420552658278,0.223392643560255,2.20399315325054,0.201339080618383,-0.72326454715865,-0.42523766189677,NA
"65",314.60001,5,1900,1,0,0,1,0,1,0,-0.123905803708652,-0.138069263372612,-0.116084772010151,-0.131829339769625,0.199920028236464,0.320703909751333,1.96728172769937,-0.275755576642643,-0.389674564850258,NA
"66",3212,5,1930,1,0,0,1,0,1,0,0.0350975345387597,-0.138069263372612,0.0335215620625581,0.0362845267136733,0.159234161675226,-0.173203189455985,1.90531882780179,-0.558392821179068,1.74411125794048,NA
"67",327.3,5,1940,1,0,0,1,0,1,0,0.173986632066623,-0.138069263372612,0.170951260124329,0.176528126852097,0.182706776999017,-0.735827798118235,1.39412490364677,-0.393521095199487,0.926160025870698,NA
"68",372.2,5,1950,1,0,0,1,0,1,0,0.3039861904902,-0.138069263372612,0.285744216350789,0.321338041815388,0.0137039466677236,-0.735827798118235,3.02065102595821,-0.0402245395289559,3.02438275161492,NA
"69",283,275,1880,0,1,0,0,1,0,1,-0.473861749103658,-0.138069263372612,-0.485889744078008,-0.462178598478921,-1.12393547602534,-0.720795842924969,-0.944974567486822,-0.9116893768496,-0.851994826454918,NA
"70",1550,275,1890,0,1,0,0,1,0,1,-0.433925162978432,-0.138069263372612,-0.438577880810841,-0.429479585422694,-0.947890861096905,-0.47384229332131,-0.0310217939975371,-0.205096265508537,-0.780868632361893,NA
"71",1849.7,275,1900,0,1,0,0,1,0,1,-0.423125036365165,-0.138069263372612,-0.432409100452877,-0.414153563251879,-0.886862061255049,-0.703616465561236,0.0774132808232255,0.666368571812107,-0.780868632361893,NA
"72",7296,275,1930,0,1,0,0,1,0,1,-0.232703147970066,-0.138069263372612,-0.234632638019719,-0.231028592861549,-0.623968769628592,-0.471694871150843,0.0309411059000416,1.16098374975085,0.0726456967544024,NA
