Accession,Names,Date,Doc #,State,Meridian,Twp ­ Rng,Aliquots,Sec. #,Count
OK0760__.438,"MAXEY, WILLIAM D",9/2/1902,5865,OK,Indian,010N ­ 001E,NW1⁄4,10,
OK0760__.439,"GUTHRIE, JOHN D",9/2/1902,5866,OK,Indian,010N ­ 001E,S1⁄2SW1⁄4,3,
OK0760__.440,"NORRIS, JAMES H",9/2/1902,5867,OK,Indian,010N ­ 001E,SE1⁄4,2,
OK0760__.441,"DICKINSON, LAURA B,MCATEE, LAURA B,MCATEE, JOHN D",9/2/1902,5868,OK,Indian,010N ­ 001E,NE1⁄4,10,
OK0760__.442,"SLOVER, THOMAS H",9/2/1902,5869,OK,Indian,007N ­ 001E,NE1⁄4,24,Cleveland
OK0760__.443,"NARY, SARAH E,BULLOCK, SARAH E,BULLOCK, JOHN",9/2/1902,5874,OK,Indian,010N ­ 001E,E1⁄2SW1⁄4,29,
OK0760__.444,"MOORE, WILLIAM A",9/2/1902,5875,OK,Indian,010N ­ 001E,NW1⁄4,32,
OK0760__.445,"VAN NORTWICK, ORVAL",9/2/1902,5876,OK,Indian,010N ­ 001E,SE1⁄4,30,
OK0760__.446,"PUCKETT, JAMES E",9/2/1902,5877,OK,Indian,010N ­ 001E,N1⁄2NW1⁄4,34,
OK0760__.447,"WILSON, JOHN W",9/2/1902,5878,OK,Indian,010N ­ 001E,SE1⁄4,27,
OK0760__.448,"ANDERSON, LOUISA,ANDERSON, JAMES R",9/2/1902,5886,OK,Indian,010N ­ 001E,E1⁄2NE1⁄4,28,
OK0760__.449,"DUNCAN, JAMES B",9/2/1902,5887,OK,Indian,007N ­ 002E,E1⁄2SW1⁄4,19,Pottawatomie
OK0760__.450,"VILMIN, JOHN B",9/2/1902,5889,OK,Indian,011N ­ 001E,SW1⁄4,34,Oklahoma
OK0760__.451,"MAYES, JAMES L",9/2/1902,5890,OK,Indian,010N ­ 001E,SW1⁄4,27,
OK0760__.452,"GUILLIAMS, WILLIAM D",9/2/1902,5891,OK,Indian,010N ­ 001E,NE1⁄4,27,
OK0760__.453,"BUTLER, WILLIAM D",9/2/1902,5892,OK,Indian,010N ­ 001E,SW1⁄4,22,
OK0760__.454,"WILSON, JAMES A",9/2/1902,5893,OK,Indian,010N ­ 001E,SW1⁄4,15,
OK0760__.455,"BYRNE, WILLIAM",9/2/1902,5894,OK,Indian,007N ­ 001E,W1⁄2SW1⁄4,21,Cleveland
OK0760__.456,"EUBANK, MARY S,EUBANK, ALEXANDER C",9/2/1902,5917,OK,Indian,012N ­ 001E,SW1⁄4,34,Oklahoma
OK0760__.457,"ELLITHORP, GEORGE F",9/2/1902,5918,OK,Indian,011N ­ 001E,NE1⁄4,8,Oklahoma
OK0760__.458,"KEYS, FRANCIS E",9/2/1902,5919,OK,Indian,009N ­ 002E,Lot/Trct 1,5,Pottawatomie
"",,,,,,009N ­ 002E,Lot/Trct 2,5,Pottawatomie
"",,,,,,009N ­ 002E,S1⁄2NE1⁄4,5,Pottawatomie
