Accession,Names,Date,Doc #,State,Meridian,Twp ­ Rng,Aliquots,Sec. #,Count
OK0990__.083,"ABRAHAM, ALONZO G",6/3/1903,2354,OK,Indian,020N ­ 001W,Lot/Trct 3,34,Noble
"",,,,,,020N ­ 001W,Lot/Trct 4,34,Noble
OK1540__.047,"ADAMS, GEORGE W",5/12/1905,2440,OK,Indian,010N ­ 003E,S1⁄2NE1⁄4,29,Pottawatomie
OK1880__.284,"ADKINS, LENA M",5/15/1907,2609,OK,Indian,015N ­ 025W,NW1⁄4,10,Roger Mills
OK1530__.190,"ALBIN, BURTON W",4/5/1905,2432,OK,Indian,013N ­ 003E,E1⁄2NW1⁄4,11,Lincoln
34790,"ALKIRE, CHARLES",12/14/1908,2853,OK,Indian,019N ­ 026W,NE1⁄4,27,Ellis
MV­0704­085,"ALLENBAUGH, ELMER E",12/26/1907,2699,OK,Indian,017N ­ 023W,E1⁄2SE1⁄4,24,Ellis
"",,,,,,017N ­ 022W,Lot/Trct 4,19,Ellis
"",,,,,,017N ­ 022W,Lot/Trct 1,30,Ellis
118103,"ALLISON, AMANDA",3/14/1910,03206,OK,Indian,014N ­ 019W,SW1⁄4NE1⁄4,5,Custer
OK1880__.176,"AMES, ALFRED B",4/16/1907,2585,OK,Indian,016N ­ 026W,NE1⁄4,24,Roger Mills
97410,"ANDERSON, FLOYD L",12/20/1909,02822,OK,Indian,017N ­ 022W,Lot/Trct 4,30,Ellis
"",,,,,,017N ­ 022W,SE1⁄4NW1⁄4,30,Ellis
"",,,,,,017N ­ 022W,E1⁄2SW1⁄4,30,Ellis
MV­0735­477,"ANDERSON, JAMES E",2/17/1908,2759,OK,Indian,015N ­ 023W,SW1⁄4,13,Roger Mills
MV­0624­303,"ANDERSON, JAMES R",8/2/1907,2653,OK,Indian,014N ­ 024W,NE1⁄4,19,Roger Mills
131012,"ANDERSON, THOMAS M",5/19/1910,03293,OK,Indian,015N ­ 023W,E1⁄2SW1⁄4,24,Roger Mills
"",,,,,,015N ­ 023W,NW1⁄4SW1⁄4,24,Roger Mills
"",,,,,,015N ­ 023W,NE1⁄4NW1⁄4,25,Roger Mills
OK1400__.397,"ANDREWS, WILLIAM C",11/13/1905,2459,OK,Indian,008N ­ 004E,N1⁄2SE1⁄4,23,Pottawatomie
MV­0678­101,"APPLEGATE, THOMAS D",10/30/1907,2680,OK,Indian,015N ­ 023W,NW1⁄4,11,Roger Mills
OK1530__.188,"ARMOR, CHARLES",4/5/1905,2430,OK,Indian,017N ­ 001E,Lot/Trct 7,13,"Logan, Payne"
OK1880__.177,"ARMSTRONG, DAVID M",4/16/1907,2584,OK,Indian,019N ­ 025W,NE1⁄4NE1⁄4,8,Ellis
"",,,,,,019N ­ 025W,NW1⁄4NW1⁄4,9,Ellis
22613,"ARNOLD, ARTHUR",10/15/1908,2828,OK,Indian,017N ­ 014W,SW1⁄4NE1⁄4,19,Dewey
OK1230__.111,"ARNOLD, WILLIAM O",12/31/1903,2364,OK,Indian,015N ­ 003E,E1⁄2NW1⁄4,26,Lincoln
54486,"ASHER, JAMES R",4/1/1909,0232,OK,Indian,016N ­ 026W,S1⁄2NW1⁄4,27,Roger Mills
"",,,,,,016N ­ 026W,N1⁄2SW1⁄4,27,Roger Mills
1187,"ASHLEY, CLIFFORD L",7/6/1908,2806,OK,Indian,017N ­ 026W,SW1⁄4NE1⁄4,23,Ellis
"",,,,,,017N ­ 026W,N1⁄2NE1⁄4,23,Ellis
"",,,,,,017N ­ 026W,SE1⁄4SE1⁄4,14,Ellis
7166,"ATHERTON, WILLIAM R",8/10/1908,2698,OK,Indian,016N ­ 023W,SE1⁄4NW1⁄4,12,Ellis
"",,,,,,016N ­ 023W,NE1⁄4SW1⁄4,12,Ellis
OK0860__.458,"ATKINS, CLATE H",5/2/1903,2340,OK,Indian,014N ­ 004E,Lot/Trct 7,30,Lincoln
"",,,,,,014N ­ 004E,Lot/Trct 8,30,Lincoln
"",,,,,,014N ­ 004E,E1⁄2NE1⁄4,30,Lincoln
OK1770__.364,"AURAND, CHARLES B",6/30/1906,2525,OK,Indian,017N ­ 026W,SE1⁄4,8,Ellis
MV­0677­113,"AURAND, MAGGIE",10/26/1907,2672,OK,Indian,017N ­ 026W,NE1⁄4,17,Ellis
OK1770__.358,"AUSTIN, HARRY C",6/30/1906,2519,OK,Indian,019N ­ 006E,N1⁄2NE1⁄4,32,Payne
