Accession,Names,Date,Doc #,State,Meridian,Twp ­ Rng,Aliquots,Sec. #,Count
OK1540__.250,"ABBOTT, JAMES W",7/18/1905,5640,OK,Indian,008N ­ 022W,SW1⁄4SW1⁄4,15,Beckham
"",,,,,,008N ­ 022W,NE1⁄4NE1⁄4,21,Beckham
"",,,,,,008N ­ 022W,NW1⁄4NW1⁄4,22,Beckham
"",,,,,,008N ­ 022W,Lot/Trct 3,22,Beckham
OK1720__.484,"ABBOTT, SPENCER W",5/1/1906,5895,OK,Indian,005N ­ 026W,N1⁄2SE1⁄4,3,Harmon
"",,,,,,005N ­ 026W,N1⁄2SW1⁄4,3,Harmon
OK1350__.190,"ABER, JOHN Q",9/9/1904,5166,OK,Indian,012N ­ 021W,W1⁄2SW1⁄4,25,Beckham
OK1250__.140,"ABERNATHY, DANIEL A",2/12/1904,4881,OK,Indian,001N ­ 020W,SW1⁄4,12,Jackson
OK1250__.123,"ABERNATHY, DANIEL M",2/12/1904,4727,OK,Indian,001N ­ 020W,NE1⁄4,11,Jackson
OK1230__.411,"ABERNATHY, MARTIN W",2/12/1904,4741,OK,Indian,002N ­ 020W,SW1⁄4,26,Jackson
OK1690__.368,"ADAMS, MARK F",3/19/1906,5869,OK,Indian,010N ­ 024W,SW1⁄4NE1⁄4,28,Beckham
OK1170__.384,"ADAMS, URIAH",11/2/1903,4619,OK,Indian,003N ­ 023W,SW1⁄4,14,Greer
OK1490__.473,"ADDISON, WILLIAM M",3/14/1905,5385,OK,Indian,002N ­ 022W,SW1⁄4,22,Jackson
OK1230__.452,"AIKEN, EDWARD L",2/12/1904,4807,OK,Indian,009N ­ 026W,NE1⁄4,19,Beckham
OK1400__.303,"AIKMAN, MAUD,KILLEN, MAUD",11/3/1905,5766,OK,Indian,004N ­ 025W,S1⁄2SE1⁄4,3,Harmon
"",,,,,,004N ­ 025W,N1⁄2NE1⁄4,10,Harmon
OK1170__.362,"AKERS, WILLIAM W",11/2/1903,4571,OK,Indian,004N ­ 025W,S1⁄2SW1⁄4,2,Harmon
OK1400__.305,"AKERS, WILLIAM W",11/3/1905,5769,OK,Indian,004N ­ 025W,Lot/Trct 3,2,Harmon
OK1540__.190,"ALBERTSON, WILLIAM F",6/30/1905,5587,OK,Indian,004N ­ 022W,SW1⁄4,10,Greer
OK1660__.456,"ALBY, MARY F,BLAKE, MARY F",2/5/1906,5780,OK,Indian,002N ­ 023W,N1⁄2SW1⁄4,22,Jackson
"",,,,,,002N ­ 023W,SW1⁄4SW1⁄4,22,Jackson
"",,,,,,002N ­ 023W,NW1⁄4NW1⁄4,27,Jackson
OK1350__.356,"ALDRIDGE, JOHN L",9/27/1904,5286,OK,Indian,003N ­ 020W,SE1⁄4,5,Jackson
OK1550__.398,"ALEXANDER, CLARENCE E",8/24/1905,5702,OK,Indian,005N ­ 025W,E1⁄2SW1⁄4,4,Harmon
"",,,,,,005N ­ 025W,SE1⁄4NW1⁄4,4,Harmon
"",,,,,,005N ­ 025W,Lot/Trct 3,4,Harmon
OK1310__.347,"ALEXANDER, JOHN W",7/2/1904,5031,OK,Indian,010N ­ 021W,E1⁄2NW1⁄4,7,Beckham
"",,,,,,010N ­ 021W,Lot/Trct 1,7,Beckham
"",,,,,,010N ­ 021W,Lot/Trct 2,7,Beckham
OK1270__.247,"ALEXANDER, OMER V",3/8/1904,4851,OK,Indian,011N ­ 021W,NW1⁄4,32,Beckham
OK1230__.135,"ALLDREDGE, HENRY D",12/31/1903,4673,OK,Indian,005N ­ 021W,Lot/Trct 1,31,
"",,,,,,005N ­ 021W,NE1⁄4NW1⁄4,31,
"",,,,,,005N ­ 021W,NW1⁄4NE1⁄4,31,
"",,,,,,005N ­ 021W,SW1⁄4SE1⁄4,30,
