"","hs.id","english","occ","ind","work.status","unemp","unemp.wks","can.read","can.write","school","own","free","farm","farm.sched","farmer","employer","self"
"3",4382,"English","Carpenter","House","Employee",0,NA,"Yes","yes ",NA,"0",NA,"0",NA,0,0,0
"6",555,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes ",NA,"0",NA,"1",NA,1,1,0
"7",5207,"English","Stockman","Cattle Ranch","Own Account",NA,NA,"Yes","yes ",NA,"1","1","1",NA,0,0,1
"13",9257,"English","Laborer","Farming","Employee",0,25,"Yes","yes ","Yes",NA,NA,NA,NA,0,0,0
"15",174,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes",NA,"1",NA,"1",NA,1,1,0
"25",1551,"English","Machinist","Quarry","Employee",0,0,"Yes","yes",NA,"1","0","0",NA,0,0,0
"26",4858,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes",NA,"1","0","1",NA,1,1,0
"29",5967,"English","Farmer","Farming","Employer",0,0,"Yes","yes",NA,"1","1","0",NA,1,1,0
"39",1380,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"40",1701,"English","Salesman","Retail Store","Employee",0,0,"Yes","yes",NA,"0",NA,"0",NA,0,0,0
"43",2804,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","1","1",NA,1,0,1
"44",3159,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"0",NA,"1",NA,1,0,1
"47",5658,"English","Carpenter","Railroad","Employee",0,0,"Yes","yes",NA,"1","1","0",NA,0,0,0
"52",8236,"English","Foreman","Heating Co","Employee",0,0,"Yes","yes",NA,"1","1","0",NA,0,0,0
"54",8598,"English","Motorman","Railway","Employee",0,0,"Yes","yes",NA,"0",NA,"0",NA,0,0,0
"55",9240,"English","Landlord","Rooms","Own Account",NA,NA,"Yes","yes",NA,"0",NA,"0",NA,0,0,1
"76",2671,"English","Labor","Hod Carrier","Employee",0,0,"No","no",NA,"0",NA,"0",NA,0,0,0
"85",3350,"English","Keeper","Hotel","Employer",NA,NA,"Yes","yes",NA,"1",NA,"0",NA,0,1,0
"88",9736,"English","Druggist","Own Store","Own Account",NA,NA,"Yes","yes",NA,"1",NA,"0",NA,0,0,1
"91",274,"English",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"92",327,"English","Tinner","Catton Gen","Employer",NA,NA,"Yes","yes",NA,"1","0","1",NA,0,1,0
"97",5632,"English","Own Income","",NA,NA,NA,NA,"yes","Yes","0",NA,"0",NA,0,NA,NA
"101",8451,"English","Agent","Real Estate","Own Account",NA,NA,"Yes","yes",NA,"1","1","0",NA,0,0,1
"102",9398,"English",NA,"",NA,NA,NA,"Yes","yes","Yes",NA,NA,NA,NA,NA,NA,NA
"105",7807,"English","Own Income","",NA,NA,NA,"Yes","yes",NA,"1","1","0",NA,0,NA,NA
"106",2532,"English",NA,"",NA,NA,NA,"No","no",NA,"1","1","0",NA,NA,NA,NA
"110",5238,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","0","1",NA,1,0,1
"115",1939,"English","Marsall","City","Employee",0,0,"Yes","yes",NA,"1","1","0",NA,0,0,0
"117",8319,"English","Farmer","Farming",NA,NA,NA,"Yes","yes",NA,"1","1","0",NA,1,NA,NA
"123",3624,"English","Barber","Own Shop","Own Account",NA,NA,"Yes","yes",NA,"1","0","0",NA,0,0,1
"133",5893,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes",NA,"1","1","1",NA,1,1,0
"137",8741,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes",NA,"0","1","1",NA,1,1,0
"142",8316,"English","Laborer","Farming","Employee",1,16,"No","no",NA,NA,NA,NA,NA,0,0,0
"153",4224,"English","Farmer","Farming","Employer",NA,NA,"No","no",NA,"1","1","1",NA,1,1,0
"167",7591,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,NA,NA,NA,NA,1,0,1
"195",5281,"English","Farmer","Farming","Employer",NA,NA,"Yes","yes",NA,"1","0","1",NA,1,1,0
"221",7171,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","1",NA,NA,1,0,1
"234",6972,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","0","1",NA,1,0,1
"239",12104,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"266",4031,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","0","1",NA,1,0,1
"269",9359,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"270",11352,"English","Farmer","Farming","Own Account",NA,NA,"Yes","yes",NA,"1","1","1",NA,1,0,1
"271",1096,"English","Salesman","Grocery Store","Employee",0,0,"Yes","yes",NA,"1","0","0",NA,0,0,0
"272",6457,"English","Farmer","",NA,NA,NA,"Yes","yes",NA,"1","0","1",NA,1,NA,NA
"273",15,"English","Stone Mason","Cutting And Laying","Own Account",0,10,"Yes","yes",NA,NA,NA,NA,NA,0,0,1
"277",2695,"English","Proprietor","Restaurant","Own Account",NA,NA,"Yes","yes",NA,"0",NA,"0",NA,0,0,1
"279",3568,"English","Laborer","Odd Jobs","Employee",0,32,"Yes","yes",NA,NA,NA,NA,NA,0,0,0
"281",4214,"English",NA,"",NA,NA,NA,"Yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"283",5900,"English","Farmer","Farming","Employer",NA,NA,"No","no",NA,"0",NA,"1",NA,1,1,0
"284",5991,"English","Factory","Heading Fac","Employee",0,8,"No","no",NA,"0",NA,"0",NA,0,0,0
